token,dim_id,trial_index,label,updated_at,is_submitted
1AOXfiFF8ElI8RsA,dimension_06,1,"legs, skin, vertical",2026-04-28T09:02:51.106695+00:00,0
1AOXfiFF8ElI8RsA,dimension_09,2,"body parts, clothes, skin",2026-04-28T09:03:17.553051+00:00,0
1AOXfiFF8ElI8RsA,dimension_04,3,"trees, nature, sky",2026-04-28T09:03:29.560606+00:00,0
1AOXfiFF8ElI8RsA,dimension_10,4,"rectangular, grid pattern, blue",2026-04-28T09:04:15.282480+00:00,0
1AOXfiFF8ElI8RsA,dimension_03,5,"small, many thingss, clutter",2026-04-28T09:04:44.779602+00:00,0
1AOXfiFF8ElI8RsA,dimension_05,6,"rectangualr, fingers, diagonal",2026-04-28T09:05:20.258827+00:00,0
1AOXfiFF8ElI8RsA,dimension_14,7,"colorful, cluttered, paper",2026-04-28T09:06:08.873089+00:00,0
1AOXfiFF8ElI8RsA,dimension_02,8,"animal, face, centered, cute",2026-04-28T09:06:52.965176+00:00,0
1AOXfiFF8ElI8RsA,dimension_01,9,"round, food, manmade",2026-04-28T09:09:32.234357+00:00,0
1AOXfiFF8ElI8RsA,dimension_07,10,"body part, skin, hair",2026-04-28T09:09:53.306765+00:00,0
1AOXfiFF8ElI8RsA,dimension_08,11,"metal, round, centered",2026-04-28T09:10:05.452705+00:00,0
1AOXfiFF8ElI8RsA,dimension_15,12,"clothes, center, verticaled, vertical",2026-04-28T09:10:15.733778+00:00,0
1AOXfiFF8ElI8RsA,dimension_11,13,"centered, ball",2026-04-28T09:10:31.050636+00:00,0
1AOXfiFF8ElI8RsA,dimension_13,14,"round, centered",2026-04-28T09:10:58.088534+00:00,0
1AOXfiFF8ElI8RsA,dimension_12,15,face,2026-04-28T09:11:06.537054+00:00,0
1AOXfiFF8ElI8RsA,dimension_06,1,"legs, skin, vertical",2026-04-28T09:11:09.251215+00:00,1
1AOXfiFF8ElI8RsA,dimension_09,2,"body parts, clothes, skin",2026-04-28T09:11:09.255424+00:00,1
1AOXfiFF8ElI8RsA,dimension_04,3,"trees, nature, sky",2026-04-28T09:11:09.259085+00:00,1
1AOXfiFF8ElI8RsA,dimension_10,4,"rectangular, grid pattern, blue",2026-04-28T09:11:09.262884+00:00,1
1AOXfiFF8ElI8RsA,dimension_03,5,"small, many thingss, clutter",2026-04-28T09:11:09.267287+00:00,1
1AOXfiFF8ElI8RsA,dimension_05,6,"rectangualr, fingers, diagonal",2026-04-28T09:11:09.270788+00:00,1
1AOXfiFF8ElI8RsA,dimension_14,7,"colorful, cluttered, paper",2026-04-28T09:11:09.274555+00:00,1
1AOXfiFF8ElI8RsA,dimension_02,8,"animal, face, centered, cute",2026-04-28T09:11:09.278047+00:00,1
1AOXfiFF8ElI8RsA,dimension_01,9,"round, food, manmade",2026-04-28T09:11:09.281825+00:00,1
1AOXfiFF8ElI8RsA,dimension_07,10,"body part, skin, hair",2026-04-28T09:11:09.285707+00:00,1
1AOXfiFF8ElI8RsA,dimension_08,11,"metal, round, centered",2026-04-28T09:11:09.289958+00:00,1
1AOXfiFF8ElI8RsA,dimension_15,12,"clothes, center, verticaled, vertical",2026-04-28T09:11:09.293409+00:00,1
1AOXfiFF8ElI8RsA,dimension_11,13,"centered, ball",2026-04-28T09:11:09.298304+00:00,1
1AOXfiFF8ElI8RsA,dimension_13,14,"round, centered",2026-04-28T09:11:09.302037+00:00,1
1AOXfiFF8ElI8RsA,dimension_12,15,face,2026-04-28T09:11:09.306898+00:00,1
